compute_budget,parameters,final_loss,hyperparams,tokens
1e+17,75497472,5.694236715624899,"{'n_layer': 24, 'd_model': 512, 'learning_rate': 0.0003, 'batch_size': 256}",220757943.61255786
3e+17,226492416,5.09230894184709,"{'n_layer': 32, 'd_model': 768, 'learning_rate': 0.0003, 'batch_size': 256}",220757943.61255786
